Year,Inflation(%),Economic Growth(%),Lending Rates(%)
2022,13.90,11.13,20.16
,15.70,12.57,20.52
,19.40,15.76,20.57
,23.40,15.37,21.61
,27.60,16.32,22.53
,29.80,17.79,24.27
,31.70,17.21,26.46
,33.90,16.97,27.96
,37.20,18.40,29.81
,40.40,22.22,31.40
,50.30,20.10,33.87
,54.10,0.00,35.58
20221,9.90,15.91,20.97
,10.30,14.67,21.02
,10.30,26.10,20.96
,8.50,35.50,20.93
,7.50,30.29,20.85
,7.80,20.38,20.61
,9.00,21.56,20.67
,9.70,17.46,20.51
,10.60,15.10,20.23
,11.00,9.92,20.34
,12.20,14.81,20.17
,12.60,10.71,20.04
2020,7.80,10.78,23.06
,7.80,13.32,23.37
,7.80,4.82,23.40
,10.60,-1.71,22.38
,11.30,-1.52,22.11
,11.20,10.01,21.95
,11.40,9.77,21.29
,10.50,11.90,21.37
,10.40,14.75,21.30
,10.10,14.95,21.26
,9.80,14.90,20.95
,10.40,12.25,21.10
2019,9.01,3.74,23.73
,9.17,5.47,23.50
,9.28,5.56,23.26
,9.47,4.45,23.09
,9.41,5.42,23.08
,9.12,3.95,23.11
,9.44,4.32,24.10
,7.80,7.91,23.96
,7.60,8.47,23.68
,7.70,11.94,23.65
,8.20,9.39,23.53
,7.90,18.18,23.59
2018,10.35,9.19,25.64
,10.58,9.36,25.38
,10.36,7.82,25.47
,9.55,7.63,25.02
,9.81,7.39,24.74
,9.97,8.03,24.14
,9.63,8.19,23.94
,9.86,2.64,23.70
,9.79,6.56,24.04
,9.52,5.73,23.90
,9.34,4.51,23.76
,9.43,2.75,23.96